transaction_id,customer_id,amount,currency,channel,created_ts,discount_code,is_refund
10054,363,168.64,,mobile,2024-05-01T21:12:00,SPRING,1
10055,1225,464.72,USD,store,2024-04-03T19:26:00,None,
10056,1048,421.95,GBP,mobile,,NEW10,
10057,246,275.84,GBP,mobile,2024-05-15T05:08:00,,1
10058,755,299.93,EUR,mobile,2024-01-21T14:24:00,,false
10059,1422,655.35,,store,2024-01-22T23:27:00,SPRING,0
10060,2,262.64,NULL,,2024-04-12T01:38:00,NEW10,1
10061,1355,34.46,NULL,store,2024-04-28T04:50:00,None,false
10062,159,384.47,EUR,,2024-04-07T23:16:00,None,1
10063,308,73.84,NULL,store,2024-03-14T08:13:00,,true
10064,1186,112.39,NULL,,2024-03-07T08:33:00,SPRING,0
10065,1203,530.09,EUR,store,2024-01-05T17:32:00,NEW10,1
10066,294,,EUR,,2024-01-18T16:29:00,NEW10,true
10067,714,124.97,NULL,web,2024-01-14T14:36:00,NEW10,true
10068,407,659.75,GBP,mobile,2024-04-13T08:27:00,,1
10069,899,402.24,NULL,web,2024-02-18T11:29:00,,0
10070,933,458.84,GBP,mobile,2024-03-26T23:39:00,NEW10,true
10071,1177,520.59,,mobile,2024-02-12T15:19:00,None,false
10072,577,656.09,GBP,web,,,1
10073,269,569.62,GBP,web,,None,1
10074,1237,99.42,,mobile,2024-04-18T22:58:00,NEW10,
10075,1226,498.52,EUR,web,2024-05-14T04:17:00,,false
10076,484,292.12,GBP,store,2024-02-07T22:45:00,NEW10,true
10077,350,671.51,USD,,2024-02-09T23:18:00,NEW10,true
10078,642,134.99,,web,2024-03-10T12:02:00,SPRING,1
10079,847,162.72,,web,,None,false
10080,231,644.86,NULL,mobile,2024-02-05T09:19:00,None,true
10081,1411,599.34,GBP,,,None,0
10082,533,73.1,EUR,web,2024-02-29T21:00:00,,
10083,31,,GBP,store,2024-03-07T01:05:00,,
10084,416,244.37,USD,,2024-04-26T01:48:00,NEW10,1
10085,899,,NULL,web,2024-03-11T01:33:00,,0
10086,872,322.81,USD,mobile,2024-04-05T15:38:00,SPRING,true
10087,431,356.42,NULL,,2024-01-01T21:55:00,,
10088,70,,,store,2024-01-12T21:44:00,NEW10,false
10089,1045,190.61,GBP,store,2024-04-14T08:02:00,SPRING,1
10090,238,20.1,USD,web,2024-01-26T11:00:00,,
10091,145,232.92,EUR,store,2024-01-10T05:26:00,,true
10092,932,184.03,USD,mobile,2024-04-23T06:47:00,None,1
10093,443,353.43,USD,mobile,2024-01-26T00:27:00,NEW10,1
10094,1462,568.98,GBP,store,2024-02-06T22:29:00,None,1
10095,1143,582.89,NULL,,2024-04-15T03:27:00,,true
10096,1108,637.11,GBP,mobile,,,
10097,381,85.81,USD,,2024-01-29T09:23:00,,
10098,622,561.53,GBP,web,2024-02-23T03:54:00,NEW10,true
10099,250,,EUR,store,2024-02-06T09:52:00,,
10100,956,130.68,USD,mobile,,,true
10101,381,5.87,,web,2024-03-11T07:37:00,,
10102,300,603.13,,store,2024-04-26T23:47:00,SPRING,
10103,715,96.7,NULL,,2024-02-10T04:14:00,NEW10,1
10104,1252,525.66,EUR,web,2024-05-03T01:22:00,SPRING,0
10105,544,338.84,EUR,store,2024-04-01T16:02:00,None,
10106,5,332.09,GBP,mobile,2024-01-19T07:26:00,NEW10,false
10107,231,94.21,NULL,,2024-03-24T15:55:00,,0
10108,615,164.24,,store,,,true
10109,1322,682.82,,store,2024-05-15T02:59:00,None,1
10110,602,336.31,GBP,,2024-02-22T01:09:00,,
10111,527,521.46,EUR,store,2024-04-12T18:22:00,NEW10,0
10112,1474,,NULL,web,2024-01-03T16:09:00,,
123|MISMATCH|EXTRA|COLS|HERE|oops
10114,378,404.74,USD,web,2024-01-31T08:31:00,SPRING,true
10115,1223,417.78,GBP,mobile,,None,
10116,685,470.02,NULL,mobile,,,false
10117,860,686.99,USD,mobile,2024-02-26T11:34:00,,false
10118,570,323.44,GBP,,2024-02-23T03:40:00,,false
10119,428,527.48,,,2024-03-09T12:42:00,SPRING,1
10120,1039,266.28,NULL,,2024-01-27T16:52:00,None,1
10121,684,382.99,EUR,mobile,2024-03-07T18:59:00,None,0
10122,1337,172.66,GBP,,2024-05-15T04:25:00,SPRING,
10123,743,240.63,EUR,web,2024-02-14T00:35:00,NEW10,1
10124,1324,94.74,,store,2024-01-25T18:32:00,SPRING,0
10125,1083,630.25,GBP,store,,SPRING,true
10126,273,587.84,,store,2024-02-18T05:02:00,,
10127,429,65.7,EUR,,2024-03-22T13:56:00,,0
10128,717,,EUR,store,2024-01-23T10:14:00,SPRING,1
10129,902,241.79,USD,web,2024-05-16T21:15:00,NEW10,false
10130,1469,218.44,GBP,web,2024-01-18T10:22:00,None,false
10131,260,75.41,GBP,,2024-03-11T21:37:00,,true
10132,1096,94.84,GBP,mobile,2024-05-02T09:58:00,,
10133,1463,399.88,GBP,store,2024-01-27T08:00:00,,false
10134,1411,422.32,EUR,web,2024-05-16T10:09:00,,false
10135,195,66.95,USD,store,,,0
10136,1265,39.59,USD,,2024-03-09T09:41:00,,
10137,615,210.26,NULL,store,2024-01-29T04:27:00,None,1
10138,638,354.06,,store,2024-02-01T08:00:00,None,1
10139,260,590.62,USD,store,2024-01-20T00:05:00,,
10140,827,655.21,,mobile,2024-05-12T23:41:00,NEW10,
10141,577,,NULL,web,2024-05-10T14:27:00,SPRING,0
10142,1387,631.05,EUR,,2024-01-09T17:13:00,None,1
10143,771,81.3,EUR,web,2024-02-01T09:01:00,,false
10144,650,83.37,USD,store,,NEW10,0
10145,324,211.97,GBP,web,2024-01-09T23:12:00,SPRING,
10146,862,,USD,mobile,2024-02-24T02:30:00,,1
10147,1291,92.63,GBP,mobile,,SPRING,false
10148,1172,235.17,USD,store,2024-03-15T05:18:00,NEW10,0
10149,560,,GBP,mobile,2024-02-12T00:45:00,SPRING,
10150,1394,581.46,EUR,web,,None,0
10151,555,433.05,EUR,,2024-05-06T08:01:00,,
10152,692,241.27,USD,,2024-05-08T22:19:00,NEW10,
10153,1214,679.7,EUR,,2024-02-12T06:05:00,NEW10,0
10154,329,219.12,USD,store,2024-05-01T16:27:00,SPRING,0
10155,630,562.68,NULL,,,,0
10156,1395,57.26,USD,,2024-02-13T09:57:00,,1
10157,553,260.7,NULL,,2024-01-21T01:07:00,None,
10158,1219,426.39,,web,2024-03-05T13:42:00,NEW10,
10159,229,434.83,NULL,mobile,2024-01-17T00:20:00,,true
10160,783,352.79,USD,,,None,0
10161,1323,510.34,NULL,,2024-04-28T04:35:00,SPRING,
10162,625,,EUR,web,2024-02-11T16:19:00,None,
10163,1401,,USD,store,2024-04-14T01:02:00,None,true
10164,17,625.65,USD,store,2024-02-12T03:32:00,None,
10165,925,653.44,USD,,2024-01-28T02:13:00,,
10166,1232,,,mobile,2024-02-26T11:27:00,,0
10167,1165,557.66,NULL,mobile,2024-02-13T13:50:00,,
10168,1319,525.99,USD,web,2024-01-28T19:21:00,None,
10169,1230,143.67,USD,,2024-03-04T10:27:00,NEW10,1
10170,900,483.03,EUR,web,2024-02-16T10:27:00,NEW10,0
10171,1084,519.19,GBP,web,2024-02-13T01:55:00,,
10172,69,,GBP,mobile,2024-01-09T13:03:00,,
10173,1047,61.59,NULL,,2024-01-08T21:55:00,SPRING,0
10174,480,492.26,GBP,web,2024-01-27T03:26:00,,0
10175,1133,,,mobile,2024-01-27T09:39:00,,0
10176,1253,272.85,,,2024-02-16T14:31:00,,
10177,1206,28.69,GBP,,2024-01-23T00:25:00,,0
10178,74,287.45,USD,,2024-03-17T22:32:00,None,
10179,285,348.52,GBP,mobile,2024-03-18T11:59:00,SPRING,false
10180,476,666.32,GBP,mobile,2024-04-15T17:28:00,NEW10,
10181,1257,476.94,,,2024-05-18T12:49:00,SPRING,1
10182,827,,GBP,store,2024-04-26T18:53:00,NEW10,false
10183,956,330.2,NULL,store,2024-01-01T01:09:00,,0
10184,823,517.8,GBP,web,2024-02-27T20:02:00,None,1
10185,1035,77.35,,,,NEW10,
10186,557,255.14,USD,web,2024-05-09T14:47:00,,
10187,1120,314.94,EUR,mobile,2024-01-10T14:46:00,,false
10188,881,,NULL,store,2024-04-28T06:35:00,,
10189,726,242.99,NULL,mobile,2024-04-29T13:12:00,,
10190,140,666.05,,web,2024-04-07T02:51:00,,
10191,92,618.48,USD,web,2024-02-09T20:43:00,,false
10192,332,509.59,GBP,web,2024-03-24T19:53:00,None,
10193,110,422.5,EUR,,,,
10194,309,553.53,NULL,store,2024-02-28T16:12:00,,
10195,1079,531.6,USD,,2024-02-07T22:16:00,,true
10196,614,105.71,EUR,mobile,2024-04-19T08:38:00,SPRING,
10197,164,100.64,USD,web,2024-03-23T17:22:00,NEW10,1
10198,739,627.95,USD,,2024-04-03T23:04:00,SPRING,0
10199,490,644.19,EUR,store,2024-01-31T08:25:00,None,0
10200,688,148.27,,mobile,2024-03-09T22:36:00,SPRING,
10201,1398,666.74,EUR,,2024-05-03T10:31:00,,
10202,1261,625.49,EUR,mobile,2024-02-07T02:30:00,NEW10,
10203,162,392.91,GBP,,2024-04-10T04:35:00,,0
10204,502,197.0,GBP,web,2024-01-01T08:29:00,NEW10,1
10205,1147,234.36,EUR,store,2024-01-12T20:17:00,NEW10,true
10206,546,187.87,GBP,,2024-02-12T20:09:00,SPRING,1
10207,1405,112.25,,store,2024-02-09T11:16:00,,true
10208,1125,431.74,NULL,mobile,2024-01-28T18:44:00,None,1
10209,198,16.59,USD,store,2024-03-10T08:53:00,SPRING,
10210,1155,,NULL,store,2024-05-08T15:17:00,,true
10211,200,672.62,USD,mobile,2024-01-15T14:55:00,None,
10212,1221,414.69,GBP,web,2024-04-06T08:03:00,,
10213,554,581.66,GBP,web,2024-04-08T06:58:00,SPRING,true
10214,1283,88.64,,store,,,true
10215,1445,147.41,USD,web,,None,0
10216,704,610.94,EUR,web,2024-01-07T02:26:00,,
10217,503,658.96,NULL,,2024-01-21T18:38:00,None,false
10218,1289,,NULL,web,2024-04-30T11:57:00,None,true
10219,199,297.7,,store,2024-05-04T12:04:00,SPRING,1
10220,1289,608.37,,mobile,2024-04-28T10:01:00,,true
10221,1357,591.65,NULL,store,2024-05-12T23:25:00,SPRING,
10222,669,197.38,,web,2024-02-14T07:34:00,,
10223,704,,,,2024-03-10T08:29:00,SPRING,0
10224,426,569.91,USD,web,,None,false
10225,599,684.58,,web,2024-05-05T18:54:00,SPRING,1
10226,1279,322.52,GBP,mobile,2024-04-03T06:08:00,SPRING,1
10227,1211,657.76,GBP,,2024-05-10T01:18:00,SPRING,0
10228,966,443.53,EUR,store,2024-02-15T07:52:00,,0
10229,1403,577.96,GBP,,,SPRING,0
"unterminated,quote,here
10231,1153,53.93,USD,,2024-01-02T05:46:00,None,1
10232,693,257.54,GBP,,2024-01-14T00:25:00,None,
10233,1177,690.78,GBP,web,2024-03-12T17:45:00,,1
10234,1017,482.5,EUR,,2024-03-18T09:44:00,,1
10235,679,662.75,,store,2024-01-20T18:06:00,None,true
10236,768,634.39,NULL,store,2024-01-15T22:16:00,SPRING,true
10237,1255,81.3,,,2024-05-12T02:00:00,None,
10238,381,496.37,EUR,,2024-05-07T11:21:00,SPRING,
10239,348,15.03,EUR,store,2024-01-25T22:59:00,None,1
10240,747,151.01,GBP,web,2024-05-16T13:22:00,SPRING,true
10241,1484,73.01,EUR,mobile,2024-03-18T04:52:00,NEW10,
10242,1415,122.19,NULL,web,2024-01-20T08:48:00,,
10243,1240,,USD,store,2024-02-03T22:13:00,SPRING,1
10244,591,389.48,EUR,,2024-04-23T01:22:00,,false
10245,1442,83.26,USD,,2024-03-24T23:48:00,,
10246,191,274.89,GBP,web,2024-04-23T09:23:00,,true
10247,985,323.34,,mobile,2024-01-03T00:55:00,,false
10248,995,,EUR,,2024-01-07T07:05:00,NEW10,
10249,712,129.08,USD,web,,None,
10250,67,410.03,USD,store,2024-03-26T15:49:00,NEW10,false
10251,1484,459.12,NULL,mobile,,SPRING,true
10252,65,91.18,NULL,store,2024-01-05T21:45:00,,0
10253,1318,598.6,GBP,mobile,2024-04-29T17:39:00,,
10254,1325,381.95,USD,store,,NEW10,1
10255,707,,,web,2024-03-10T16:07:00,NEW10,1
10256,1135,95.37,NULL,store,2024-03-09T17:30:00,,false
10257,723,659.59,NULL,web,2024-02-08T05:17:00,NEW10,
10258,294,140.29,,mobile,2024-01-05T11:27:00,None,
10259,583,489.86,,mobile,,,false
10260,1046,388.03,USD,,2024-03-28T13:28:00,,
10261,410,92.04,NULL,mobile,2024-01-06T18:52:00,,
10262,1174,,NULL,web,2024-01-11T07:49:00,SPRING,
10263,1089,283.71,,store,2024-02-15T21:14:00,SPRING,false
10264,1177,377.13,GBP,,2024-01-02T06:52:00,SPRING,
10265,1291,416.05,USD,web,2024-01-22T10:59:00,,false
10266,710,,NULL,web,2024-01-28T02:26:00,NEW10,
10267,1394,194.23,EUR,,,,
10268,1457,457.09,,,2024-02-18T05:44:00,SPRING,false
10269,667,259.19,USD,,,,
10270,472,558.32,GBP,store,2024-01-11T13:17:00,NEW10,1
10271,104,65.17,,mobile,2024-01-05T15:21:00,,1
10272,262,,,,,,false
10273,412,,,,2024-05-02T01:57:00,,0
10274,830,144.54,,store,2024-01-02T18:16:00,NEW10,
10275,1072,423.75,GBP,mobile,2024-01-04T22:55:00,SPRING,1
10276,563,641.22,NULL,,2024-05-12T01:55:00,SPRING,
10277,54,274.07,GBP,mobile,2024-01-25T11:17:00,,true
10278,1376,130.98,USD,store,,NEW10,true
10279,83,,EUR,mobile,2024-02-06T04:09:00,NEW10,1
10280,552,269.75,,,2024-04-29T01:53:00,NEW10,0
10281,201,23.69,EUR,,2024-01-02T15:39:00,,
10282,1247,367.71,GBP,web,2024-04-05T12:47:00,,false
10283,244,39.0,NULL,store,2024-05-08T20:16:00,None,true
10284,93,232.46,,mobile,,,0
10285,118,119.98,NULL,web,2024-03-19T18:07:00,,true
10286,301,373.77,GBP,,,,0
10287,589,,GBP,mobile,2024-01-30T18:27:00,,
10288,959,563.84,GBP,store,2024-04-02T13:18:00,,1
10289,1187,290.69,NULL,web,2024-02-14T04:28:00,SPRING,true
123|MISMATCH|EXTRA|COLS|HERE|oops
10291,835,392.47,NULL,mobile,2024-01-23T15:18:00,,
10292,899,509.48,,web,2024-04-13T23:14:00,None,false
10293,640,578.44,,mobile,2024-04-18T18:50:00,,0
10294,9,338.52,GBP,mobile,2024-02-24T14:35:00,,true
10295,1340,671.84,,web,,NEW10,
10296,688,573.91,,mobile,2024-01-14T01:08:00,SPRING,false
10297,555,12.81,,store,2024-02-09T18:53:00,,false
10298,921,471.53,EUR,web,2024-01-27T06:32:00,,0
10299,584,,,store,,None,0
10300,40,170.89,EUR,mobile,,,false
10301,539,192.24,USD,,2024-04-18T01:40:00,None,true
10302,956,699.19,GBP,web,2024-05-15T17:03:00,SPRING,
10303,1222,267.66,,,2024-05-09T06:32:00,None,false
10304,552,97.53,EUR,,,SPRING,0
10305,1149,489.81,EUR,mobile,2024-02-28T23:51:00,SPRING,1
10306,836,33.89,,,2024-02-24T16:26:00,,true
10307,1239,55.17,USD,web,2024-04-10T10:32:00,None,true
10308,23,55.95,GBP,,2024-02-10T04:04:00,NEW10,1
10309,48,,,mobile,,NEW10,
10310,87,40.45,NULL,mobile,2024-01-27T14:20:00,,
10311,1108,,NULL,,2024-05-14T13:37:00,,1
10312,216,593.02,EUR,store,2024-05-14T04:52:00,SPRING,
10313,775,,NULL,web,2024-04-21T02:40:00,None,
10314,1005,274.51,EUR,web,2024-03-16T08:25:00,,
10315,1016,,GBP,,2024-02-12T23:46:00,NEW10,0
10316,1358,397.07,NULL,,,SPRING,
10317,1306,,EUR,store,2024-01-15T11:17:00,NEW10,1
10318,1132,670.69,USD,store,,,false
10319,296,,USD,,2024-02-12T04:02:00,SPRING,
10320,1435,445.21,,mobile,2024-01-11T14:50:00,NEW10,false
10321,1151,,USD,store,2024-03-23T09:27:00,,1
10322,6,211.06,USD,mobile,2024-04-13T19:50:00,,
10323,736,284.33,GBP,web,2024-05-18T03:41:00,,true
10324,337,489.64,,mobile,2024-01-13T16:48:00,SPRING,0
10325,999,405.67,USD,,2024-04-06T17:03:00,,true
10326,13,540.33,USD,,2024-01-06T12:46:00,,true
10327,492,503.7,GBP,,2024-02-17T06:54:00,,
10328,210,301.87,EUR,,2024-03-12T05:28:00,,false
10329,719,296.87,GBP,store,2024-05-13T14:24:00,,true
10330,208,374.69,NULL,,,SPRING,1
10331,1442,319.68,,mobile,,,false
10332,744,41.11,USD,web,2024-04-19T10:44:00,None,
10333,1046,525.88,EUR,mobile,,,0
10334,700,,GBP,,2024-02-01T07:07:00,NEW10,false
10335,576,124.23,NULL,,2024-02-13T17:24:00,,1
10336,1068,632.74,USD,web,2024-05-16T21:08:00,None,
10337,608,,USD,mobile,2024-01-08T00:32:00,,true
10338,337,200.67,NULL,,,SPRING,
10339,83,482.4,,web,,NEW10,1
10340,1466,692.61,GBP,web,2024-03-01T17:55:00,,true
10341,1030,583.67,USD,mobile,2024-03-24T07:28:00,SPRING,1
10342,36,674.49,NULL,mobile,2024-01-28T18:18:00,NEW10,
10343,900,73.76,USD,store,2024-05-18T11:04:00,None,
10344,679,332.0,USD,web,2024-01-17T22:07:00,,0
10345,1400,613.93,EUR,mobile,2024-05-07T17:40:00,,
10346,126,194.52,,mobile,,None,false
10347,117,399.69,EUR,mobile,2024-02-04T05:37:00,SPRING,false
10348,257,144.91,NULL,store,2024-02-06T08:20:00,,
10349,1171,668.09,USD,web,2024-02-20T04:42:00,NEW10,
10350,761,666.28,NULL,mobile,2024-05-17T15:11:00,NEW10,false
10351,55,247.59,EUR,store,2024-01-09T17:42:00,NEW10,1
10352,80,,GBP,mobile,2024-02-03T02:48:00,SPRING,0
10353,494,585.54,USD,mobile,2024-02-22T08:55:00,,
10354,1244,249.71,,mobile,2024-03-16T22:36:00,SPRING,
10355,458,408.56,,store,2024-01-24T22:32:00,None,0
10356,74,,,web,2024-02-28T17:31:00,SPRING,false
10357,1223,666.04,GBP,,2024-04-23T04:48:00,NEW10,
10358,1239,,EUR,,2024-03-17T12:07:00,None,
10359,292,,NULL,store,2024-02-17T22:31:00,SPRING,true
10360,493,,NULL,mobile,2024-04-19T20:41:00,None,
10361,620,,GBP,mobile,2024-05-10T22:52:00,SPRING,
10362,1420,137.34,,web,2024-02-29T00:32:00,NEW10,true
10363,1113,64.27,NULL,store,2024-02-26T16:27:00,,true
10364,1210,,,mobile,2024-03-06T15:29:00,,false
10365,517,666.68,NULL,store,2024-04-13T15:11:00,NEW10,false
10366,1102,54.51,EUR,mobile,2024-03-23T12:16:00,NEW10,0
"unterminated,quote,here
10368,1357,,GBP,store,2024-02-28T12:41:00,,
10369,1217,26.47,,mobile,2024-02-01T08:45:00,,true
10370,250,530.74,NULL,mobile,2024-03-21T04:44:00,NEW10,true
10371,930,426.18,USD,,2024-04-10T19:17:00,NEW10,
10372,377,623.59,,store,2024-01-17T10:19:00,,true
10373,996,659.88,EUR,,,SPRING,false
10374,1075,390.14,GBP,store,2024-02-18T21:26:00,,
10375,991,313.85,USD,,2024-04-06T09:07:00,None,false
10376,445,318.63,,web,2024-02-12T03:40:00,NEW10,true
10377,1144,668.56,EUR,,2024-01-20T12:57:00,,1
10378,1102,642.15,GBP,mobile,2024-01-27T14:45:00,SPRING,1
10379,1196,420.95,EUR,,2024-04-22T11:44:00,SPRING,false
10380,337,136.73,NULL,web,2024-04-06T21:49:00,None,
10381,1248,230.44,USD,store,2024-04-02T16:08:00,SPRING,false
10382,910,332.74,USD,,2024-03-24T14:20:00,NEW10,
10383,1211,657.95,GBP,store,2024-02-05T22:08:00,,true
10384,1298,152.41,GBP,mobile,2024-02-15T09:13:00,SPRING,1
10385,1139,655.55,EUR,,2024-03-12T15:40:00,SPRING,
10386,90,245.98,USD,web,,SPRING,false
10387,180,560.24,,web,2024-02-23T04:10:00,,0
10388,1137,347.65,USD,mobile,2024-03-26T06:21:00,SPRING,
10389,1239,639.35,NULL,,2024-01-13T14:39:00,None,
10390,12,40.86,NULL,,2024-01-06T08:23:00,,
10391,1495,338.78,EUR,mobile,2024-01-14T21:29:00,NEW10,0
10392,414,642.59,EUR,,2024-03-02T20:28:00,,true
10393,3,407.84,NULL,,2024-05-04T03:47:00,NEW10,0
10394,487,453.86,USD,web,2024-02-02T01:02:00,,1
10395,54,,,mobile,2024-04-16T03:33:00,None,
10396,1404,371.78,EUR,,2024-03-09T06:38:00,NEW10,1
10397,403,264.73,EUR,mobile,2024-04-06T21:00:00,SPRING,true
10398,277,384.22,,web,2024-01-01T14:30:00,SPRING,false
10399,816,151.88,NULL,web,2024-04-18T10:36:00,None,1
10400,1418,43.46,EUR,store,2024-02-07T12:13:00,None,0
10401,731,140.53,USD,,2024-03-02T16:27:00,,true
10402,1060,246.83,,web,2024-02-05T18:59:00,,
10403,1261,31.25,EUR,mobile,,,
10404,710,136.36,EUR,web,2024-04-22T01:33:00,,1
10405,216,166.17,GBP,mobile,2024-04-16T20:02:00,None,true
10406,281,25.94,,,2024-01-12T03:01:00,SPRING,
10407,159,167.76,,,,,false
10408,1390,577.01,GBP,mobile,2024-03-18T15:36:00,SPRING,true
10409,1007,687.67,NULL,web,2024-04-02T05:51:00,,
10410,615,389.41,USD,store,2024-03-11T02:34:00,NEW10,false
10411,337,,USD,web,2024-02-26T18:16:00,,true
10412,357,573.49,NULL,mobile,2024-03-20T05:38:00,SPRING,0
10413,1166,153.59,USD,store,2024-02-29T11:27:00,,false
10414,133,679.15,NULL,store,2024-04-02T07:18:00,None,
10415,40,37.41,EUR,mobile,2024-01-31T19:45:00,NEW10,
10416,1368,422.69,USD,store,2024-03-23T11:33:00,None,false
10417,845,,,web,2024-02-12T08:49:00,NEW10,
10418,961,595.09,USD,store,,,1
10419,1492,352.0,EUR,mobile,2024-05-06T19:25:00,,false
10420,1015,317.58,GBP,mobile,2024-02-20T18:27:00,NEW10,true
10421,1186,236.89,,web,2024-02-18T07:07:00,,
10422,151,217.04,NULL,web,,SPRING,false
10423,1467,531.16,GBP,web,2024-01-03T07:23:00,NEW10,true
10424,624,272.42,GBP,web,2024-01-23T20:05:00,None,true
