id	user_id	price_usd	tax	final_amount	payment_type
30096	344	577.95	40.46	618.4100000000001	
30097	1010	302.86	21.2	324.06	paypal
30098	981	297.86	20.85	318.71000000000004	card
30099	141	572.77	40.09	612.86	card
30100	1198	685.5	47.99	733.49	
30101	890	791.14	55.38	846.52	cash
30102	1487	$853.5	59.75		card
30103	721	84.97	5.95		cash
30104	488		43.35	662.63	cash
30105	785	367.12	25.7	392.82	card
30106	1315	230.42	16.13	246.54999999999998	
30107	600	515.37	36.08	551.45	paypal
30108	619		2.11	32.31	
30109	729	706.31	49.44	755.75	
30110	880	632.61	44.28	676.89	cash
30111	604	62.3	4.36		card
30112	229	328.63	23.0		
30113	1187	$779.6	54.57	834.1700000000001	
30114	1080	163.17		174.58999999999997	
"unterminated,quote,here
30116	383	233.66	16.36	250.01999999999998	paypal
30117	521	833.88	58.37	892.25	paypal
30118	1337	250.29	17.52	267.81	
30119	418	654.52	45.82		card
30120	553	494.98	34.65	529.63	
30121	589	719.51		769.88	cash
30122	205	379.75	26.58	406.33	
30123	730	614.72	43.03	657.75	paypal
30124	1295	352.61	24.68	377.29	
123|MISMATCH|EXTRA|COLS|HERE|oops
30126	1140	111.58	7.81	119.39	
30127	1084	344.27	24.1		cash
30128	885	479.13	33.54	512.67	card
30129	295		21.11	322.67	
30130	678			303.40000000000003	
30131	53	801.99	56.14	858.13	cash
30132	365	724.7	50.73	775.4300000000001	card
30133	94	799.82	55.99	855.8100000000001	
30134	649	380.85	26.66		paypal
30135	1252	573.12	40.12		
30136	443	741.76			
30137	567	215.7	15.1		
30138	1409	758.87	53.12	811.99	paypal
30139	157	317.01	22.19	339.2	card
30140	1041	309.09		330.72999999999996	
30141	903	716.98	50.19	767.1700000000001	
30142	585	568.65	39.81	608.46	paypal
30143	534	753.14		805.86	
30144	576	809.64			cash
30145	879	109.88	7.69	117.57	
30146	1164			336.62	paypal
30147	585	510.14	35.71	545.85	
30148	685	329.67	23.08		card
30149	1398	228.51	16.0	244.51	card
30150	961	864.66	60.53		card
30151	20	304.18	21.29	325.47	cash
30152	61		43.74	668.59	
30153	1493	545.24	38.17		paypal
30154	563		7.75	118.53	
30155	1233	71.7		76.72	card
30156	1233	359.49	25.16	384.65000000000003	paypal
30157	174	565.63	39.59	605.22	
30158	1225	457.26		489.27	
30159	1424	521.75	36.52	558.27	
30160	48		56.77		
30161	937		36.54		cash
30162	986	506.77		542.24	
30163	834	868.88	60.82	929.7	
30164	1345	68.67	4.81	73.48	paypal
30165	220		10.27	157.05	paypal
30166	260	$604.73	42.33	647.0600000000001	
30167	176	121.49	8.5	129.99	cash
30168	948	240.07	16.8	256.87	card
30169	858	674.0	47.18	721.18	paypal
30170	264	602.22	42.16	644.38	cash
30171	878		62.28	951.97	
30172	1499	302.93	21.21		
30173	458	330.03	23.1	353.13	paypal
30174	590	823.57	57.65	881.22	
30175	614	792.74	55.49	848.23	cash
30176	588	304.93	21.35	326.28000000000003	
30177	456			719.64	card
30178	434	371.7		397.71999999999997	cash
30179	1009	605.8	42.41	648.2099999999999	paypal
30180	35	770.64	53.94		paypal
30181	1117	$533.85	37.37	571.22	paypal
30182	200	734.22	51.4	785.62	paypal
30183	469	81.75	5.72	87.47	paypal
30184	618	214.16		229.15	card
30185	884	642.78	44.99	687.77	
30186	422	113.62	7.95		cash
30187	758	842.34	58.96	901.3000000000001	paypal
30188	800	299.49	20.96	320.45	cash
"unterminated,quote,here
30190	311	93.4	6.54	99.94000000000001	
30191	294	722.91	50.6	773.51	
30192	914	343.09	24.02		card
30193	216	298.71	20.91	319.62	
30194	1010		36.68	560.66	cash
30195	662	178.12	12.47	190.59	card
30196	576	638.15	44.67	682.8199999999999	card
30197	813	113.29	7.93		card
30198	423	463.21	32.42	495.63	card
30199	810	220.16	15.41	235.57	
30200	344	426.71			paypal
30201	690	826.6	57.86	884.46	paypal
30202	1311	498.2	34.87	533.0699999999999	paypal
30203	1024	441.46	30.9		
30204	20	651.75	45.62	697.37	paypal
30205	577	516.31	36.14	552.4499999999999	cash
30206	776	$549.86	38.49	588.35	card
30207	942	314.38	22.01		
30208	997	437.68	30.64	468.32	paypal
30209	441	713.57	49.95	763.5200000000001	card
30210	1356	47.27	3.31	50.580000000000005	card
30211	594	833.12	58.32	891.44	
30212	10	752.32	52.66	804.98	cash
30213	441	373.42	26.14	399.56	card
30214	1130	531.75	37.22		card
30215	934	656.33	45.94	702.27	
30216	1139	52.29	3.66	55.95	paypal
30217	145	56.92	3.98	60.9	paypal
30218	988		17.15	262.2	cash
30219	698	165.29	11.57	176.85999999999999	cash
30220	933	842.56	58.98	901.54	
30221	726	702.27	49.16	751.43	
30222	767			468.52	
30223	1176	631.59	44.21		
30224	777	599.46	41.96	641.4200000000001	cash
30225	763	854.36	59.81	914.1700000000001	cash
30226	440	632.35	44.26		card
30227	481	$157.73	11.04		paypal
30228	1430	78.51	5.5		paypal
30229	448	751.8	52.63	804.43	cash
30230	305	899.48	62.96	962.44	
30231	66	549.89	38.49	588.38	
30232	1048		50.84	777.09	cash
30233	250	598.12	41.87	639.99	
30234	901	383.68	26.86	410.54	cash
30235	54	678.02		725.48	
30236	987	897.04	62.79	959.8299999999999	card
30237	338	582.46	40.77	623.23	paypal
30238	1026		6.18	94.41	
30239	384	$772.25		826.31	card
30240	98		28.91	441.92	card
30241	1290	448.32		479.7	paypal
30242	514	108.24		115.82	card
30243	825	231.67	16.22	247.89	
30244	615	592.61	41.48	634.09	cash
30245	272	716.58	50.16	766.74	paypal
30246	569	269.14	18.84	287.97999999999996	cash
30247	921	654.04	45.78		
30248	141	793.89	55.57	849.46	cash
,,,
30250	255			267.5	
30251	1040	590.73	41.35	632.08	
30252	957		26.52	405.39	
30253	1075	292.6	20.48	313.08000000000004	cash
30254	113		35.26	538.96	paypal
30255	377	604.53	42.32		paypal
30256	139	766.85	53.68	820.53	card
30257	21	161.74		173.06	paypal
30258	1032	822.05	57.54	879.5899999999999	card
30259	366	516.09	36.13	552.22	
30260	1422	654.29	45.8		
30261	354	352.17	24.65		cash
30262	935		53.41	816.42	card
30263	919	218.01	15.26	233.26999999999998	paypal
30264	15	$225.6	15.79		
30265	759	805.21	56.36	861.57	card
30266	951	286.66	20.07	306.73	cash
30267	170		17.1	261.45	card
30268	179	421.69	29.52	451.21	cash
30269	1337	632.99	44.31	677.3	
30270	985	860.55	60.24	920.79	paypal
30271	414	632.58	44.28	676.86	paypal
30272	653	434.94	30.45		cash
30273	247	448.04	31.36	479.40000000000003	cash
30274	734		51.78	791.5	
30275	545	543.76		581.8199999999999	card
30276	429	784.47	54.91	839.38	
30277	123	541.06	37.87	578.93	card
30278	262	$60.11	4.21	64.32	cash
30279	924		15.12	231.18	
30280	1017	753.46	52.74	806.2	card
30281	304	153.26	10.73	163.98999999999998	cash
30282	3	546.42	38.25	584.67	cash
30283	801	444.72	31.13	475.85	cash
30284	419	430.99	30.17	461.16	card
30285	247	525.03	36.75	561.78	paypal
30286	183		5.0	76.47	cash
30287	506		18.08	276.35999999999996	cash
30288	1471	74.34	5.2	79.54	
30289	876		49.51	756.79	
30290	401	217.0	15.19	232.19	cash
30291	155	550.66	38.55	589.2099999999999	cash
30292	300	564.52		604.04	paypal
30293	612	144.12	10.09	154.21	cash
30294	125	241.04		257.90999999999997	
30295	676	292.26	20.46	312.71999999999997	
30296	279		60.78	929.06	cash
30297	206	722.57	50.58	773.1500000000001	
30298	1431	220.36	15.43	235.79000000000002	cash
30299	1333	62.12	4.35	66.47	
30300	1414	129.54	9.07	138.60999999999999	cash
30301	924	529.49	37.06	566.55	card
30302	440	854.31	59.8	914.1099999999999	paypal
30303	603		26.75	408.92	card
30304	725	628.77		672.78	paypal
30305	953		1.84	28.11	
30306	1048	162.1	11.35	173.45	
30307	1174	871.84	61.03	932.87	
30308	823		37.93	579.8199999999999	cash
30309	755	697.43	48.82	746.25	
30310	750	861.73	60.32	922.0500000000001	
30311	1040	123.08			
30312	786	659.52	46.17	705.6899999999999	
30313	830	539.87	37.79	577.66	paypal
30314	422	75.33			cash
30315	208	291.48	20.4		paypal
"unterminated,quote,here
30317	240	604.07		646.35	card
30318	642	139.14	9.74	148.88	
30319	1124	127.16		136.06	
30320	945	385.42	26.98	412.40000000000003	cash
30321	275	$330.95	23.17	354.12	cash
30322	1354	242.38	16.97	259.35	paypal
30323	658	595.55	41.69	637.24	cash
30324	698	31.74	2.22	33.96	
30325	1293		39.23	599.6800000000001	
30326	1426	622.16	43.55	665.7099999999999	card
30327	770	792.93	55.51	848.4399999999999	
30328	1128		9.55	146.01000000000002	paypal
30329	211	833.29	58.33		
30330	1230	369.8	25.89	395.69	paypal
30331	226	321.31	22.49	343.8	paypal
30332	589	358.26	25.08	383.34	card
30333	863	516.43	36.15	552.5799999999999	card
30334	1140	112.42	7.87	120.29	cash
30335	1186		48.53	741.87	cash
30336	1276	239.74	16.78		cash
30337	630	769.74	53.88	823.62	
30338	858	$648.8	45.42	694.2199999999999	card
30339	1431	534.24	37.4	571.64	cash
30340	1389	775.29	54.27	829.56	
30341	658	137.21		146.81	paypal
30342	288	458.62	32.1		cash
30343	181	835.2	58.46	893.6600000000001	
30344	906	583.88	40.87	624.75	cash
30345	954	643.4	45.04		
30346	1396	451.03	31.57	482.59999999999997	card
30347	725	621.32			paypal
30348	1105		50.25	768.16	paypal
30349	209	653.99	45.78		paypal
30350	951	21.05	1.47	22.52	
30351	515	56.76	3.97	60.73	card
30352	936	523.46	36.64	560.1	cash
30353	1460	65.63	4.59		paypal
30354	386	239.95	16.8	256.75	paypal
30355	110	576.59	40.36	616.95	
30356	1082	358.85	25.12		paypal
30357	1301			151.41	cash
30358	733	725.75	50.8	776.55	
30359	126	483.24	33.83	517.07	paypal
30360	8		1.03	15.68	cash
30361	1031		16.1	246.04	cash
30362	437	761.76	53.32	815.08	
30363	1104	126.82	8.88	135.7	card
30364	1346	241.14	16.88	258.02	card
30365	238	255.82	17.91	273.73	paypal
30366	1285	434.97	30.45	465.42	paypal
30367	639	21.98		23.52	cash
30368	955	135.92		145.42999999999998	card
30369	826	301.08	21.08	322.15999999999997	
30370	909		28.53	436.13	
30371	182	531.85	37.23	569.08	
30372	1137	81.87	5.73	87.60000000000001	paypal
30373	421	440.64		471.47999999999996	
30374	287	368.18	25.77	393.95	card
30375	320	660.59	46.24		card
30376	160	615.36	43.08	658.44	cash
30377	950	591.58		632.99	paypal
30378	1208	113.47	7.94	121.41	
30379	1127	110.55	7.74	118.28999999999999	paypal
30380	837	809.42	56.66	866.0799999999999	card
30381	999	604.81	42.34	647.15	cash
30382	655	801.59	56.11	857.7	card
30383	821	353.8	24.77	378.57	
30384	305	749.22	52.45		paypal
30385	659	98.81	6.92	105.73	
30386	463	$104.69	7.33	112.02	
30387	549	114.49	8.01	122.5	cash
30388	1223	626.9	43.88		cash
30389	382		33.96	519.11	
30390	1184	530.58	37.14	567.72	cash
30391	397	692.73	48.49	741.22	cash
30392	104	542.41	37.97	580.38	
30393	890	778.44	54.49	832.9300000000001	paypal
30394	118	530.66		567.81	paypal
30395	138	463.33	32.43	495.76	card
30396	1483	98.12		104.99000000000001	paypal
30397	384		19.35	295.83000000000004	card
30398	1131	807.64	56.53	864.17	paypal
30399	83	478.17	33.47	511.64	paypal
30400	1217	762.44		815.8100000000001	cash
30401	111	150.22	10.52	160.74	
30402	1222	282.47	19.77		card
30403	1230	665.77	46.6	712.37	paypal
30404	917	656.45	45.95	702.4000000000001	
30405	443	858.56	60.1	918.66	paypal
30406	213	896.92	62.78	959.6999999999999	cash
30407	371		46.51		card
30408	1068	428.82	30.02	458.84	paypal
30409	145	817.96	57.26	875.22	
30410	898			74.1	
30411	1443	340.91	23.86		paypal
30412	1208	198.64	13.9	212.54	card
30413	1246	366.64	25.66	392.3	
30414	1393		49.69	759.48	
30415	434	57.26	4.01	61.269999999999996	
30416	1262	431.33	30.19	461.52	card
30417	740		22.23	339.85	
30418	178	658.67	46.11		paypal
30419	50	887.5	62.13	949.63	cash
30420	772	96.17	6.73	102.9	card
30421	839	123.23	8.63	131.86	card
30422	1388	370.91		396.87	cash
30423	1229	72.86	5.1		card
30424	810	372.4	26.07	398.46999999999997	card
30425	652	218.28	15.28		paypal
30426	528	151.23	10.59	161.82	card
30427	917	54.5	3.82	58.32	paypal
30428	229		31.61	483.12	card
30429	1120	348.15	24.37	372.52	paypal
30430	696	344.33		368.43	cash
30431	1469	391.09	27.38		
30432	423	$857.01	59.99	917.0	card
30433	33	356.64	24.96	381.59999999999997	card
30434	1234	597.59	41.83	639.4200000000001	
30435	499	249.71	17.48	267.19	
30436	735	452.01	31.64	483.65	
30437	317	120.62	8.44	129.06	cash
30438	203		62.18	950.43	
30439	1114	652.58	45.68		
30440	144		27.28	416.98	card
30441	256	421.26	29.49	450.75	cash
30442	960	539.94	37.8	577.74	cash
30443	85	680.04	47.6	727.64	cash
30444	1373	$660.71	46.25	706.96	
30445	1419	719.08	50.34	769.4200000000001	paypal
30446	535	186.02		199.04000000000002	card
30447	372	417.92		447.17	
30448	676	41.6	2.91		
30449	109		54.34	830.5600000000001	card
30450	218	23.08		24.7	
30451	958	862.16	60.35	922.51	cash
30452	1327		0.61	9.35	card
30453	461	766.12	53.63	819.75	paypal
30454	1120	852.2	59.65	911.85	cash
30455	719		12.72	194.43	paypal
30456	1270	513.56	35.95	549.51	
30457	1127	409.86	28.69	438.55	cash
30458	1482	481.51	33.71	515.22	card
30459	375	10.07		10.77	paypal
30460	157	423.7		453.36	
30461	359	526.04	36.82	562.86	paypal
30462	965	655.82	45.91	701.73	paypal
30463	1407		33.39	510.39	
30464	750	697.36		746.1800000000001	
30465	1310	169.54	11.87	181.41	card
30466	339		11.1	169.72	card
30467	1239	554.56		593.38	paypal
30468	650	864.41	60.51	924.92	
30469	971		21.1	322.53000000000003	card
30470	739	381.28		407.96999999999997	
30471	729	822.45	57.57		
30472	578	296.31	20.74	317.05	paypal
30473	1028	50.26		53.78	
30474	152	760.33	53.22	813.5500000000001	
30475	1437	593.72	41.56		cash
30476	759	536.9	37.58	574.48	
30477	1234	272.48	19.07		card
30478	1331	464.8	32.54	497.34000000000003	cash
30479	1433	$410.83	28.76		paypal
30480	1164	566.88	39.68	606.56	
30481	656	651.02		696.59	cash
30482	228	206.84		221.32	
30483	926	381.51	26.71	408.21999999999997	
30484	1023		29.85		cash
30485	768		35.87	548.29	
30486	926	291.21	20.38	311.59	paypal
30487	1381	334.22	23.4	357.62	cash
30488	591	297.75	20.84		
30489	699	638.59	44.7	683.2900000000001	card
30490	417	119.58	8.37		cash
30491	381	127.6	8.93	136.53	
30492	1089	543.12	38.02	581.14	cash
30493	347		40.59	620.5	card
30494	1422	899.73	62.98	962.71	cash
30495	728	330.31	23.12	353.43	
30496	370	302.4	21.17	323.57	card
30497	1227	769.88	53.89		
30498	827	268.21	18.77	286.97999999999996	paypal
30499	790	895.38	62.68	958.06	
30500	574	861.46	60.3		cash
30501	1450	536.64	37.56	574.2	cash
30502	1469	477.99	33.46	511.45	paypal
30503	269		19.04	291.09000000000003	paypal
30504	810		25.58	390.96999999999997	cash
30505	1323	86.41	6.05	92.46	card
30506	469		16.97	259.45	cash
30507	760	607.82		650.37	
30508	437	576.87	40.38	617.25	card
30509	177	710.25	49.72	759.97	cash
30510	889	755.42	52.88	808.3	cash
30511	12		31.28		card
30512	490	813.85	56.97	870.82	paypal
30513	323	619.18	43.34	662.52	cash
30514	538	120.68		129.13	cash
30515	912	863.49	60.44	923.9300000000001	card
30516	863	245.25	17.17	262.42	
30517	845	564.27	39.5	603.77	card
30518	326		56.98	871.03	
30519	578	803.1	56.22	859.32	cash
30520	651	$297.4		318.21999999999997	card
30521	584	256.11	17.93	274.04	card
30522	576	602.33	42.16	644.49	paypal
30523	281	851.85		911.48	cash
30524	524	67.21	4.7	71.91	card
30525	2	746.45	52.25	798.7	cash
30526	253	802.85	56.2	859.0500000000001	
30527	238	107.27	7.51	114.78	card
30528	634	766.15	53.63	819.78	card
30529	826		42.64		card
30530	262	271.58	19.01	290.59	card
30531	1217	233.21	16.32	249.53	cash
30532	942	581.94	40.74		paypal
30533	1326	$162.65		174.04000000000002	
30534	21	197.04	13.79	210.82999999999998	cash
30535	1496	338.6	23.7	362.3	paypal
30536	88	327.51	22.93	350.44	paypal
30537	551	316.95		339.14	
30538	1185	41.0	2.87	43.87	paypal
30539	999	874.46	61.21		
30540	35	448.77		480.18	card
30541	680			617.22	cash
30542	848	587.47	41.12		card
30543	872	539.79	37.79	577.5799999999999	
30544	1266	671.75	47.02	718.77	
30545	943	118.89	8.32	127.21000000000001	paypal
30546	1417	437.49	30.62	468.11	
30547	1197	16.3	1.14		paypal
30548	653	740.11	51.81	791.9200000000001	cash
30549	788	788.16	55.17		cash
30550	359	339.99	23.8	363.79	paypal
30551	987		42.32	646.83	
30552	1269	765.03	53.55	818.5799999999999	card
30553	1434	96.51	6.76	103.27000000000001	
30554	907	410.02	28.7	438.71999999999997	
30555	1364	348.3		372.68	card
30556	663	121.27		129.76	cash
30557	1096	567.03	39.69	606.72	cash
30558	1352	459.07	32.13	491.2	card
30559	355	771.34	53.99	825.33	
30560	1201	782.35	54.76		
30561	1060	$201.29	14.09		card
30562	1100	298.91	20.92	319.83000000000004	
30563	79	18.86	1.32		
30564	1047		5.94	90.86	
30565	1247	408.05	28.56	436.61	
30566	686	134.75	9.43	144.18	cash
30567	218	257.69	18.04	275.73	cash
30568	578	835.31	58.47	893.78	card
30569	193	433.91	30.37	464.28000000000003	card
30570	141		53.02		paypal
30571	1036		58.83	899.2	cash
30572	1180	792.1	55.45	847.5500000000001	
30573	1249	82.21	5.75	87.96	card
30574	44		10.34	158.08	
30575	630		34.49	527.17	
30576	771	8.84	0.62	9.459999999999999	
30577	613	761.92	53.33	815.25	card
30578	423	$886.87	62.08	948.95	
30579	190	478.07			
30580	988		28.61	437.27000000000004	
30581	1321			929.2199999999999	
30582	786	89.68			
30583	158	258.96	18.13	277.09	paypal
30584	915			342.95	
30585	1292			365.26	cash
30586	883		8.81	134.64	paypal
30587	418		33.8	516.59	
30588	515	385.14		412.09999999999997	paypal
30589	1055	13.14	0.92	14.06	
30590	488	420.79	29.46	450.25	cash
30591	1115	407.73		436.27000000000004	paypal
30592	296	113.03	7.91	120.94	card
30593	1323	861.65	60.32		card
30594	1414	624.49	43.71	668.2	
30595	880	223.16	15.62	238.78	
30596	17	687.12	48.1	735.22	paypal
30597	471	44.21	3.09		cash
30598	1386		36.3	554.92	
30599	713	239.01	16.73	255.73999999999998	cash
30600	1460	255.85	17.91	273.76	
30601	525	351.47	24.6	376.07000000000005	paypal
30602	331			97.92	
30603	78	880.45	61.63	942.08	card
30604	502	875.25	61.27	936.52	
30605	1455	181.16	12.68	193.84	card
30606	511	750.25	52.52	802.77	cash
30607	1091	865.22	60.57	925.7900000000001	
30608	756	627.74		671.6800000000001	
30609	841	279.44	19.56	299.0	card
30610	535	70.23	4.92	75.15	card
,,,
30612	373	793.23	55.53	848.76	paypal
30613	80	726.26		777.1	paypal
30614	1410		40.76	623.08	card
30615	345	447.16	31.3	478.46000000000004	cash
30616	691	227.29	15.91	243.2	paypal
30617	1062	59.33	4.15	63.48	card
30618	1076	237.81	16.65	254.46	paypal
30619	630	491.89	34.43	526.3199999999999	cash
30620	503	213.87	14.97	228.84	card
30621	415	710.08		759.7900000000001	cash
30622	187	66.52	4.66	71.17999999999999	cash
30623	396	805.72	56.4		paypal
30624	535			622.73	
30625	1356			34.059999999999995	
30626	350	881.28	61.69	942.97	card
30627	158	747.62		799.95	paypal
30628	74	442.14		473.09	paypal
30629	1266	438.86	30.72	469.58000000000004	card
30630	1105	357.29	25.01	382.3	card
30631	847	197.32	13.81	211.13	
30632	438	419.8		449.19	
30633	1217	215.32	15.07	230.39	card
30634	868	443.03	31.01	474.03999999999996	
30635	1277	612.66	42.89	655.55	paypal
30636	848	548.2	38.37		paypal
30637	1146	19.44	1.36	20.8	
30638	129	27.68	1.94		
30639	1462	840.9	58.86	899.76	
30640	1163	357.25	25.01	382.26	paypal
30641	1323		55.68	851.05	card
30642	106	162.29	11.36	173.64999999999998	
30643	1144	25.04	1.75		card
30644	1181	635.61		680.1	cash
30645	508	494.65			paypal
30646	653		33.86	517.6	
30647	689	391.51	27.41	418.92	
30648	201	512.08		547.9300000000001	card
30649	1008	178.05	12.46	190.51000000000002	
30650	1013		36.31	555.0899999999999	cash
30651	789	23.28	1.63	24.91	cash
30652	58	236.51			
30653	166	$393.46	27.54	421.0	cash
30654	1477	503.34	35.23	538.5699999999999	
30655	215	277.34	19.41		paypal
"unterminated,quote,here
30657	338	583.96		624.84	paypal
30658	1239	149.09	10.44	159.53	cash
30659	359	317.11	22.2	339.31	paypal
30660	1181		61.05		paypal
30661	818	767.45	53.72		paypal
30662	989			119.28999999999999	cash
30663	331	184.54			paypal
30664	418	121.95	8.54		card
30665	343	197.61	13.83	211.44000000000003	cash
30666	736	821.35		878.84	
30667	907		38.82		paypal
30668	211	$624.68	43.73	668.41	
30669	888	579.55	40.57	620.12	cash
30670	1188	583.41	40.84	624.25	paypal
30671	617	693.34	48.53	741.87	
30672	770	383.33	26.83	410.15999999999997	paypal
30673	1210		17.61	269.24	paypal
30674	1082	121.53	8.51	130.04	
30675	447	865.34	60.57	925.9100000000001	paypal
30676	131	786.09	55.03	841.12	cash
30677	403	203.58	14.25	217.83	card
30678	1377	365.8	25.61	391.41	
30679	1468	206.48	14.45	220.92999999999998	cash
30680	752	9.29	0.65	9.94	card
30681	993	847.38	59.32	906.7	paypal
